user_id,TypingSpeed,DwellTime,FlightTime,ErrorRate,TotalTime,NumKeys,SentenceComplexity,Emotion
101,5.626,100.27,133.236,0.06,13.688,80,0.271,Angry
83,6.273,97.146,150.559,0.0025,11.943,70,0.374,Happy
71,5.749,81.477,184.364,0.0266,24.744,122,0.583,Happy
112,5.229,86.704,140.669,0.0135,7.329,37,0.496,Calm
11,4.626,133.797,180.127,0.0673,17.787,90,0.53,Sad
28,5.664,87.844,135.858,0.0095,16.204,85,0.394,Calm
111,5.908,87.605,142.11,0.027,3.245,17,0.381,Calm
22,3.741,120.374,131.551,0.0393,15.384,51,0.615,Neutral
47,5.062,107.161,213.38,0.0108,17.868,76,0.666,Sad
60,5.6,128.041,160.906,0.0291,6.576,40,0.459,Calm
92,3.951,102.829,136.351,0.0113,13.607,47,0.49,Calm
42,6.074,116.404,115.119,0.008,12.15,63,0.412,Neutral
8,4.302,129.158,218.688,0.0001,7.044,25,0.728,Sad
32,5.704,119.208,156.008,0.0237,17.355,85,0.43,Calm
80,7.744,101.93,160.555,0.0222,12.042,86,0.394,Angry
118,6.137,78.344,162.032,0.0644,14.714,79,0.411,Angry
17,4.893,52.096,80.0,0.0196,21.109,100,0.291,Neutral
12,5.314,106.952,175.771,0.0502,15.685,81,0.529,Angry
45,5.1,133.626,165.317,0.0343,16.16,84,0.554,Neutral
63,5.001,103.17,210.403,0.0632,21.126,107,0.611,Sad
47,4.612,110.432,130.382,0.0181,25.469,99,0.489,Neutral
17,2.958,130.39,170.673,0.021,48.246,120,0.677,Neutral
35,5.519,127.518,195.976,0.0244,7.785,43,0.472,Sad
43,6.32,77.133,157.865,0.0865,9.126,65,0.411,Angry
14,5.438,146.899,159.728,0.0245,9.307,52,0.448,Sad
91,7.401,81.844,169.444,0.032,12.035,92,0.418,Happy
29,3.571,84.567,170.187,0.0375,13.81,48,0.616,Sad
70,4.021,95.01,158.089,0.0293,37.579,128,0.575,Calm
7,4.5,93.228,212.152,0.0143,17.763,85,0.594,Neutral
79,4.483,115.496,205.267,0.0248,13.239,61,0.566,Sad
62,7.252,74.527,91.831,0.0025,11.699,73,0.107,Happy
17,8.451,82.05,144.497,0.0418,4.65,37,0.191,Happy
93,6.914,117.703,155.441,0.0433,13.126,77,0.361,Sad
113,7.13,76.223,158.567,0.0614,15.044,125,0.322,Angry
49,6.094,96.933,178.515,0.0016,22.956,117,0.4,Calm
13,7.351,85.657,172.674,0.0234,13.859,91,0.328,Happy
49,8.844,104.084,144.464,0.0637,9.784,88,0.212,Angry
67,4.111,134.064,179.797,0.0213,28.386,110,0.586,Neutral
21,6.63,68.927,156.444,0.0672,13.369,75,0.26,Angry
24,4.914,73.007,180.688,0.0283,27.261,121,0.587,Sad
9,6.622,103.84,145.843,0.033,7.474,54,0.273,Neutral
55,4.477,109.126,238.458,0.0461,10.959,52,0.777,Sad
26,8.58,110.137,139.123,0.0726,6.805,51,0.22,Angry
110,7.229,105.087,155.21,0.0263,11.063,76,0.356,Happy
6,6.263,87.0,124.65,0.0456,14.207,81,0.33,Angry
91,5.408,129.921,161.299,0.0282,6.487,35,0.448,Calm
13,5.341,91.899,175.722,0.0255,19.55,107,0.431,Neutral
8,7.801,102.815,147.617,0.0786,7.439,51,0.223,Angry
105,4.031,86.646,145.408,0.0128,25.364,94,0.515,Calm
25,6.504,86.291,159.754,0.0274,7.756,57,0.396,Neutral
75,5.017,110.085,154.498,0.0197,24.679,111,0.568,Neutral
84,5.971,67.385,145.431,0.0489,16.353,98,0.278,Angry
119,3.274,129.284,147.728,0.0573,25.294,93,0.545,Sad
30,4.487,84.767,171.904,0.0323,23.676,96,0.642,Neutral
23,4.474,122.192,179.19,0.0251,24.162,90,0.479,Sad
40,5.561,151.426,158.362,0.0293,23.503,117,0.467,Neutral
115,7.92,105.757,121.744,0.0693,2.107,17,0.211,Angry
11,7.315,121.251,135.865,0.0555,8.409,71,0.264,Angry
114,4.801,138.429,208.424,0.0355,18.315,77,0.613,Sad
114,6.856,52.278,155.207,0.0752,19.564,114,0.372,Angry
56,4.792,118.77,143.339,0.011,20.269,93,0.452,Neutral
63,5.139,89.192,200.68,0.0284,22.097,126,0.603,Neutral
22,7.366,52.621,134.693,0.022,7.006,48,0.257,Happy
68,7.733,78.328,119.286,0.0357,7.354,59,0.202,Angry
12,3.85,111.831,139.011,0.0018,17.334,58,0.539,Sad
85,5.247,51.794,136.583,0.0289,19.357,87,0.468,Happy
30,5.759,94.301,174.772,0.0141,17.147,107,0.469,Calm
81,6.384,83.154,156.338,0.0127,10.726,62,0.41,Neutral
15,4.419,130.224,186.897,0.0137,27.226,110,0.602,Sad
56,4.659,76.057,161.471,0.0333,24.756,123,0.538,Calm
108,4.441,95.76,186.492,0.026,7.479,31,0.643,Neutral
67,6.981,86.176,130.823,0.0465,7.861,60,0.282,Angry
66,5.399,116.887,185.831,0.0391,17.54,85,0.602,Neutral
14,5.508,101.764,150.177,0.0137,6.982,42,0.422,Calm
100,3.282,73.178,213.234,0.0324,11.668,44,0.769,Sad
53,6.272,84.489,126.876,0.0115,9.281,58,0.362,Happy
27,4.859,115.094,170.981,0.0358,6.089,31,0.463,Sad
81,5.259,78.409,173.599,0.0138,20.017,108,0.492,Calm
66,6.41,90.581,130.18,0.0255,18.406,109,0.331,Calm
59,5.332,86.961,157.808,0.0629,13.404,62,0.389,Neutral
19,7.405,119.527,80.0,0.0382,12.374,98,0.059,Angry
9,6.598,80.757,114.849,0.0138,19.577,110,0.212,Happy
56,5.768,130.209,155.863,0.0574,9.639,56,0.421,Angry
100,6.978,99.947,102.791,0.0474,12.976,86,0.207,Angry
48,5.911,116.227,137.329,0.0584,15.168,87,0.351,Happy
104,4.231,85.875,138.847,0.0195,18.46,80,0.507,Happy
43,7.304,86.165,169.906,0.0606,8.129,67,0.338,Angry
117,5.645,109.044,158.093,0.0172,5.062,27,0.389,Calm
68,7.016,63.069,104.234,0.0126,10.035,68,0.248,Happy
120,6.426,84.571,204.573,0.0216,15.915,98,0.492,Happy
87,7.406,98.045,142.141,0.0671,5.526,41,0.235,Angry
35,7.458,96.836,164.685,0.0237,11.451,72,0.336,Happy
102,5.353,113.045,205.806,0.0387,25.095,121,0.663,Sad
111,7.419,84.64,124.863,0.0118,16.796,115,0.242,Happy
56,4.864,88.953,152.9,0.0297,7.131,40,0.345,Neutral
17,4.399,114.238,206.567,0.0258,10.664,53,0.629,Sad
115,6.106,93.087,132.378,0.0203,11.023,73,0.366,Calm
110,7.371,90.793,124.119,0.0039,8.657,61,0.234,Happy
72,5.865,101.85,127.489,0.0232,17.968,96,0.332,Calm
93,5.881,77.028,118.842,0.0157,6.109,30,0.331,Happy
91,6.373,81.341,177.368,0.0459,8.228,59,0.497,Neutral
2,3.38,93.553,143.295,0.0526,12.318,37,0.552,Neutral
71,6.273,124.254,146.489,0.0002,11.98,72,0.328,Calm
44,5.667,115.147,114.436,0.0549,16.866,82,0.316,Angry
120,4.542,88.641,83.727,0.0459,23.162,99,0.302,Calm
43,5.63,74.556,169.121,0.0154,14.081,66,0.507,Neutral
60,4.911,114.595,160.47,0.0472,22.066,121,0.519,Sad
83,6.332,111.585,135.597,0.0073,17.654,93,0.395,Neutral
91,4.946,105.596,178.723,0.0222,13.932,59,0.529,Sad
34,5.918,77.171,160.828,0.0031,5.024,34,0.393,Happy
39,5.282,131.721,163.008,0.0623,24.303,115,0.467,Angry
9,5.876,141.144,171.382,0.0304,16.691,108,0.409,Sad
107,4.52,88.394,159.603,0.0208,26.128,111,0.546,Calm
36,5.716,123.762,142.327,0.0154,15.498,82,0.409,Calm
101,5.048,93.629,118.098,0.0131,18.756,108,0.337,Angry
58,4.454,136.029,166.324,0.0211,6.808,31,0.514,Neutral
119,5.541,122.581,178.341,0.0194,12.435,79,0.459,Calm
113,6.933,65.216,172.851,0.0334,4.535,36,0.369,Happy
82,4.229,108.892,162.004,0.0325,13.112,53,0.505,Calm
1,6.42,101.997,101.648,0.0612,4.696,30,0.143,Angry
62,5.948,95.437,81.372,0.0086,11.648,78,0.181,Happy
49,5.22,79.443,118.261,0.0239,4.13,24,0.351,Calm
52,5.244,136.984,155.504,0.0428,20.03,122,0.396,Sad
35,6.126,125.81,80.0,0.0855,8.023,48,0.228,Angry
43,4.779,117.118,137.588,0.0111,5.995,24,0.425,Neutral
37,5.671,51.798,90.781,0.0173,10.513,65,0.247,Happy
1,3.079,108.083,180.954,0.0093,17.295,53,0.705,Sad
3,4.463,107.815,155.526,0.0023,20.535,85,0.446,Neutral
109,6.745,104.684,127.909,0.0026,10.733,65,0.275,Calm
67,8.989,122.322,93.723,0.0675,13.261,104,0.011,Angry
72,5.262,93.093,157.231,0.0417,11.935,53,0.487,Calm
75,6.084,91.372,119.023,0.0224,12.797,84,0.304,Happy
73,4.931,94.165,142.657,0.0173,22.282,92,0.509,Calm
5,6.07,127.401,182.275,0.0381,12.805,71,0.51,Angry
28,3.734,126.27,169.65,0.0464,15.537,55,0.556,Sad
50,4.793,105.774,147.066,0.0046,15.197,68,0.443,Neutral
56,6.255,84.147,101.637,0.0167,17.732,95,0.202,Happy
86,5.51,102.805,169.84,0.0111,19.99,121,0.495,Calm
53,5.413,110.545,142.837,0.0196,24.344,115,0.472,Calm
80,4.116,133.136,173.215,0.0045,16.884,73,0.581,Sad
72,7.792,132.1,136.597,0.0635,8.145,59,0.313,Angry
69,5.47,122.001,159.088,0.0049,10.261,59,0.385,Calm
37,6.501,112.73,156.894,0.0761,12.197,89,0.337,Angry
33,5.255,126.9,155.101,0.0427,23.657,113,0.482,Sad
35,3.309,172.298,187.487,0.0333,20.976,80,0.724,Sad
7,6.215,73.921,183.04,0.0476,12.184,78,0.476,Angry
116,5.652,113.652,184.861,0.0157,17.952,93,0.539,Neutral
88,5.497,70.307,146.675,0.0438,22.867,136,0.448,Neutral
112,6.094,91.125,155.001,0.0574,8.341,51,0.388,Angry
115,3.735,159.704,145.739,0.0511,28.037,118,0.472,Sad
119,3.874,114.249,168.102,0.0208,35.675,115,0.6,Neutral
7,3.566,105.073,138.352,0.0267,27.364,90,0.538,Sad
113,4.655,131.562,185.146,0.0291,16.365,64,0.508,Sad
87,7.362,89.445,159.018,0.0635,5.713,40,0.379,Angry
115,5.801,123.522,156.953,0.0156,7.195,43,0.453,Happy
100,3.468,102.006,133.949,0.0499,8.557,33,0.505,Neutral
75,5.787,83.13,153.125,0.023,16.353,90,0.517,Happy
4,5.029,104.821,147.835,0.0238,7.263,31,0.416,Calm
52,4.967,91.112,186.681,0.0303,10.764,55,0.532,Neutral
15,5.205,126.475,128.653,0.0466,8.552,38,0.377,Neutral
63,5.954,99.631,158.601,0.0308,10.844,58,0.447,Neutral
2,1.643,160.923,194.005,0.0517,64.22,100,0.78,Sad
18,3.651,126.55,165.768,0.0334,8.974,31,0.624,Sad
4,5.639,129.334,191.977,0.0225,16.616,96,0.45,Neutral
31,4.586,125.136,146.18,0.0374,7.758,41,0.44,Sad
115,4.472,96.906,161.098,0.0071,8.122,32,0.514,Sad
32,6.656,99.8,160.657,0.0025,18.39,119,0.4,Happy
113,5.4,80.349,131.939,0.014,5.927,27,0.34,Calm
19,3.822,106.043,125.782,0.0316,9.261,41,0.583,Neutral
41,5.102,104.891,167.47,0.01,13.02,75,0.526,Sad
57,4.438,88.452,164.476,0.0154,15.775,59,0.51,Happy
62,5.412,100.349,137.597,0.0143,17.233,92,0.321,Calm
38,5.578,131.16,139.312,0.0216,19.288,106,0.331,Calm
78,7.79,80.412,148.93,0.0691,4.623,38,0.292,Angry
56,6.496,103.514,87.772,0.0102,13.2,83,0.198,Happy
89,4.589,97.997,150.061,0.0283,9.581,47,0.445,Calm
52,4.618,113.036,145.833,0.0111,24.215,117,0.466,Sad
9,4.807,136.969,104.325,0.0262,23.938,105,0.299,Neutral
33,6.431,88.549,109.794,0.0414,15.586,86,0.305,Happy
118,6.048,123.451,80.0,0.0684,3.462,24,0.274,Angry
83,6.435,74.033,127.529,0.0178,4.935,27,0.277,Happy
32,5.55,76.465,93.627,0.0027,17.594,93,0.34,Happy
42,4.229,101.629,178.061,0.0373,27.83,110,0.643,Neutral
94,4.64,119.621,163.357,0.0325,5.862,24,0.553,Sad
13,5.403,84.714,152.298,0.0198,28.585,136,0.607,Happy
54,6.038,90.264,120.495,0.0822,19.269,114,0.326,Angry
20,4.511,96.679,181.171,0.0251,23.627,106,0.614,Neutral
56,6.199,130.313,120.256,0.0618,9.218,52,0.227,Angry
94,7.109,80.727,122.932,0.0688,16.023,116,0.223,Angry
38,6.17,124.419,151.542,0.0494,16.291,114,0.341,Neutral
24,7.703,91.311,189.977,0.06,12.881,92,0.45,Angry
67,7.547,96.75,130.842,0.0516,12.325,84,0.248,Angry
88,6.316,53.735,135.22,0.0299,5.318,38,0.364,Happy
82,4.797,122.181,169.961,0.0285,26.122,110,0.57,Calm
31,5.606,80.497,154.466,0.0218,12.878,76,0.351,Happy
6,5.923,97.52,154.899,0.0272,17.358,98,0.364,Calm
66,7.753,89.606,149.304,0.0091,13.381,114,0.232,Happy
12,4.283,148.228,186.219,0.0325,8.816,33,0.55,Sad
53,7.606,100.352,144.535,0.0536,17.176,111,0.385,Angry
12,5.231,89.307,141.823,0.0198,19.307,87,0.39,Neutral
97,6.653,86.007,153.783,0.0108,15.445,103,0.364,Neutral
4,5.656,123.645,176.707,0.0294,20.857,115,0.513,Neutral
59,5.488,118.303,167.804,0.0246,14.261,84,0.38,Neutral
94,5.196,111.06,166.302,0.0141,13.01,68,0.521,Neutral
87,5.52,76.651,145.022,0.0218,11.145,58,0.28,Happy
92,6.2,101.242,158.318,0.0205,18.145,109,0.45,Calm
85,5.954,59.709,127.587,0.0544,6.881,34,0.347,Angry
120,7.765,97.51,142.808,0.055,7.57,62,0.288,Angry
105,6.419,114.494,134.229,0.0536,8.624,48,0.272,Angry
114,7.746,81.754,127.8,0.0236,7.843,58,0.245,Happy
78,4.928,129.81,156.706,0.0302,23.511,124,0.507,Angry
98,5.908,136.278,171.841,0.0365,6.563,32,0.394,Sad
98,4.238,93.246,201.644,0.0429,26.508,98,0.694,Sad
57,5.206,143.656,174.743,0.0219,24.366,110,0.543,Neutral
17,4.75,110.336,144.179,0.0235,25.993,106,0.445,Calm
105,4.768,117.187,125.221,0.0098,17.944,96,0.416,Calm
104,3.438,143.705,145.689,0.0505,30.372,89,0.54,Sad
52,7.401,128.468,138.736,0.0414,12.468,85,0.128,Angry
68,6.904,95.815,149.914,0.0275,16.219,125,0.265,Happy
12,5.62,82.105,150.363,0.0221,4.469,28,0.391,Happy
85,4.069,179.6,146.358,0.0353,7.003,25,0.583,Sad
62,7.123,130.948,127.817,0.0775,17.054,115,0.247,Angry
40,5.262,82.314,149.282,0.0175,16.052,81,0.387,Calm
5,4.541,91.806,151.874,0.0027,28.169,113,0.52,Calm
46,7.39,68.811,116.325,0.0216,10.394,74,0.175,Happy
50,5.005,103.389,155.324,0.0094,7.324,35,0.357,Calm
48,6.327,52.554,120.001,0.051,16.89,101,0.323,Angry
35,3.869,92.948,135.776,0.0377,7.798,27,0.55,Sad
3,5.431,110.251,148.36,0.0125,3.406,21,0.463,Calm
85,8.949,126.292,193.322,0.051,5.181,42,0.303,Angry
107,4.562,104.268,130.985,0.0155,22.653,95,0.393,Calm
76,5.785,82.383,125.729,0.0386,9.643,57,0.319,Happy
6,7.26,83.365,84.225,0.042,7.033,52,0.157,Happy
90,7.661,65.513,104.168,0.023,9.944,70,0.159,Happy
22,3.198,114.209,207.392,0.043,22.107,76,0.72,Sad
10,4.074,134.834,158.484,0.0299,13.918,51,0.677,Neutral
39,4.348,91.391,154.042,0.0324,13.458,58,0.513,Calm
38,5.784,116.424,143.487,0.0159,2.813,15,0.389,Calm
44,7.344,61.899,211.171,0.0593,12.191,102,0.41,Angry
50,3.173,106.453,156.748,0.0306,5.932,20,0.563,Neutral
83,5.026,125.459,140.437,0.0192,21.114,114,0.407,Neutral
15,4.829,88.832,165.268,0.0525,12.127,56,0.51,Happy
111,5.408,85.565,110.37,0.0172,21.912,107,0.261,Calm
30,5.594,100.475,125.553,0.0196,6.313,31,0.372,Happy
30,6.577,104.254,103.961,0.0514,14.536,101,0.165,Angry
14,5.259,97.063,206.752,0.0385,15.185,87,0.653,Neutral
82,6.216,135.397,162.953,0.0474,22.33,127,0.411,Neutral
81,5.646,112.119,115.14,0.0014,19.946,102,0.29,Happy
30,5.105,146.745,154.69,0.0251,19.687,90,0.497,Sad
31,6.697,123.804,132.566,0.0048,19.493,112,0.324,Happy
82,5.652,93.421,150.681,0.044,12.435,78,0.434,Sad
83,4.061,138.119,203.225,0.0346,18.001,62,0.558,Sad
76,3.923,90.85,176.508,0.0142,33.997,126,0.664,Sad
53,5.949,69.739,128.192,0.0233,21.22,108,0.303,Happy
35,5.875,82.238,114.467,0.0322,8.878,52,0.212,Happy
55,5.945,105.51,106.713,0.029,5.488,34,0.289,Calm
103,4.331,112.584,122.605,0.0094,17.146,75,0.396,Neutral
3,5.903,78.747,154.338,0.0175,15.245,95,0.404,Happy
56,4.872,104.907,135.922,0.0011,22.384,111,0.476,Calm
35,4.896,103.718,128.866,0.0133,6.26,26,0.447,Calm
50,5.333,114.256,150.397,0.0211,11.355,56,0.462,Calm
23,7.534,107.118,80.0,0.0459,5.825,44,0.138,Angry
27,5.162,106.597,142.651,0.0102,21.52,124,0.436,Calm
112,5.36,109.718,205.115,0.0459,15.518,83,0.579,Neutral
116,8.031,123.118,91.859,0.0516,11.623,85,0.162,Angry
91,5.619,70.014,102.562,0.0241,9.413,60,0.335,Calm
89,6.418,71.526,156.644,0.0178,4.865,31,0.282,Happy
62,4.857,118.668,124.02,0.0461,14.867,62,0.436,Neutral
14,5.088,145.758,168.684,0.0466,23.128,129,0.466,Sad
83,6.839,128.842,158.341,0.0254,17.253,119,0.358,Happy
79,4.943,112.971,149.745,0.0399,7.898,39,0.372,Neutral
1,3.813,84.826,142.766,0.0245,22.615,88,0.472,Calm
10,4.035,113.199,178.292,0.0494,16.727,60,0.573,Sad
33,7.893,79.096,161.643,0.0545,12.407,98,0.293,Angry
4,5.449,99.499,142.312,0.0329,21.953,121,0.442,Calm
23,4.311,136.598,176.53,0.0182,17.318,68,0.538,Sad
79,4.174,100.594,100.868,0.0186,18.849,80,0.367,Happy
80,5.403,156.432,173.943,0.0383,15.397,72,0.6,Neutral
120,5.252,94.811,177.584,0.0536,10.647,50,0.567,Sad
69,5.648,124.073,207.536,0.0281,9.851,65,0.542,Angry
97,7.726,118.218,146.785,0.043,12.195,80,0.196,Angry
36,6.197,55.339,128.87,0.0262,4.117,29,0.223,Happy
71,5.721,136.905,187.455,0.0422,11.749,78,0.464,Neutral
98,4.2,99.486,177.496,0.0413,25.077,95,0.56,Sad
105,6.358,86.225,112.415,0.0185,3.892,23,0.245,Calm
34,5.362,76.206,133.235,0.0278,12.972,78,0.338,Calm
4,5.424,87.028,154.292,0.0158,16.856,78,0.495,Neutral
36,3.776,141.771,142.133,0.044,25.166,90,0.555,Neutral
24,5.149,88.109,93.384,0.0275,11.398,61,0.339,Angry
112,3.953,116.43,193.027,0.0152,10.677,38,0.606,Neutral
75,7.011,63.248,98.099,0.0388,6.217,45,0.131,Happy
55,5.819,113.307,135.529,0.0441,13.058,64,0.342,Happy
65,5.746,69.16,95.567,0.0138,8.941,45,0.3,Happy
62,5.184,113.822,188.556,0.0062,22.666,129,0.576,Calm
101,5.164,112.977,136.83,0.0265,22.366,122,0.426,Happy
31,3.941,129.959,253.113,0.0819,20.634,83,0.853,Sad
40,6.094,100.325,185.961,0.0558,16.884,99,0.48,Angry
91,5.233,131.621,139.824,0.0325,14.018,74,0.422,Neutral
34,5.707,86.712,183.072,0.0213,6.181,34,0.5,Happy
102,4.97,109.872,210.823,0.0223,13.157,64,0.536,Sad
65,4.255,105.372,146.746,0.022,26.265,125,0.483,Neutral
16,7.4,55.669,127.509,0.015,15.908,110,0.271,Happy
43,5.599,98.805,177.013,0.0205,18.087,99,0.546,Calm
9,3.103,101.569,151.874,0.0418,34.814,109,0.536,Neutral
19,6.563,137.915,131.975,0.0667,5.041,38,0.305,Angry
96,7.042,122.611,109.97,0.0597,12.756,84,0.218,Angry
31,5.2,118.926,155.894,0.0164,17.605,81,0.486,Calm
43,6.044,83.836,149.693,0.0186,18.248,94,0.312,Happy
50,4.181,100.692,129.573,0.0045,26.331,125,0.453,Calm
3,5.153,89.066,162.667,0.0093,5.013,28,0.539,Calm
68,4.797,121.141,145.294,0.0155,5.615,24,0.503,Calm
54,7.836,86.752,157.35,0.0625,4.629,30,0.284,Angry
24,4.953,108.403,146.601,0.0053,6.976,31,0.463,Calm
101,4.99,113.931,127.013,0.0137,8.342,39,0.367,Neutral
102,5.481,79.488,153.496,0.0263,12.636,60,0.453,Neutral
88,6.821,96.919,118.448,0.0608,13.691,97,0.273,Angry
21,4.342,126.121,156.824,0.0126,5.655,25,0.535,Calm
32,5.125,102.819,162.068,0.0369,15.584,77,0.456,Neutral
80,3.862,146.278,102.232,0.0423,17.561,73,0.393,Sad
109,6.024,114.194,154.956,0.0314,19.083,126,0.429,Neutral
72,5.11,82.896,154.8,0.0528,17.561,89,0.411,Sad
19,5.664,118.863,188.951,0.0185,5.837,31,0.438,Neutral
72,6.027,113.74,151.819,0.0255,4.049,25,0.445,Neutral
98,4.336,113.329,175.174,0.009,11.669,45,0.559,Calm
69,5.494,87.753,162.045,0.0089,9.176,49,0.464,Happy
1,6.414,102.174,124.988,0.0149,15.529,106,0.282,Calm
107,4.815,102.261,181.83,0.0367,9.866,48,0.524,Neutral
117,5.446,77.907,134.869,0.0046,8.187,46,0.39,Calm
67,5.231,63.706,90.269,0.0092,7.649,46,0.189,Happy
53,6.864,93.107,80.0,0.0567,11.813,71,0.146,Angry
78,2.665,127.337,180.021,0.0091,17.387,45,0.709,Sad
3,3.91,98.094,177.418,0.0482,28.443,118,0.655,Neutral
106,6.325,64.174,193.043,0.0217,23.472,124,0.466,Angry
45,5.705,103.612,144.969,0.0163,8.887,57,0.426,Calm
105,4.91,78.565,130.966,0.0446,13.753,78,0.418,Neutral
74,5.305,160.098,185.514,0.0397,18.277,104,0.525,Sad
58,4.165,88.688,140.325,0.044,31.696,122,0.544,Sad
39,4.577,157.42,205.32,0.0471,24.93,104,0.656,Sad
94,6.904,78.921,88.506,0.0162,3.657,29,0.204,Happy
106,5.499,74.813,130.501,0.032,8.279,52,0.434,Happy
56,6.93,97.234,141.128,0.0619,9.246,59,0.215,Angry
86,5.585,106.374,137.262,0.0265,27.391,129,0.307,Calm
69,4.221,102.675,151.96,0.0238,26.953,110,0.573,Neutral
63,5.912,108.826,147.824,0.0712,4.596,27,0.514,Angry
98,5.717,84.14,116.051,0.0064,11.917,62,0.331,Happy
56,5.967,110.409,178.771,0.0339,10.19,63,0.414,Neutral
31,8.245,113.746,133.719,0.0542,3.323,30,0.241,Angry
30,4.805,85.339,131.847,0.0171,21.332,120,0.435,Happy
9,6.594,96.349,124.167,0.0023,5.332,30,0.315,Happy
43,3.899,88.589,127.484,0.0361,33.846,118,0.57,Neutral
100,4.781,82.646,111.048,0.0566,9.261,40,0.292,Neutral
38,5.474,85.689,93.356,0.0429,18.604,88,0.322,Angry
1,5.002,73.827,173.733,0.0418,6.293,33,0.553,Neutral
86,5.062,50.0,146.337,0.0239,17.885,76,0.442,Neutral
76,4.638,101.885,150.461,0.0297,4.989,23,0.44,Calm
50,4.177,102.368,137.879,0.0176,20.955,81,0.47,Calm
39,4.518,99.273,167.867,0.0149,13.158,54,0.446,Sad
110,9.0,89.485,148.736,0.0495,12.489,103,0.226,Angry
71,5.62,107.033,146.322,0.0194,18.491,89,0.35,Neutral
119,6.063,104.461,136.153,0.0261,20.432,106,0.263,Happy
11,6.119,95.653,128.695,0.0095,22.554,117,0.345,Happy
74,4.247,121.462,193.075,0.0377,9.492,35,0.621,Neutral
59,4.678,63.48,145.845,0.0078,10.988,44,0.506,Neutral
45,8.93,105.047,155.052,0.0413,12.991,121,0.14,Angry
30,5.425,97.652,158.245,0.0107,24.115,119,0.491,Calm
115,9.0,97.671,153.158,0.0644,5.837,53,0.14,Angry
77,3.182,105.295,147.123,0.0311,38.021,102,0.478,Sad
81,3.38,117.043,177.511,0.0233,15.14,51,0.695,Sad
67,5.561,116.22,213.929,0.0173,18.753,87,0.627,Neutral
51,9.0,79.785,115.735,0.0553,2.558,24,0.12,Angry
4,3.703,114.519,158.376,0.036,36.51,122,0.561,Calm
26,5.972,103.644,139.503,0.0176,7.998,44,0.329,Happy
57,5.265,111.962,165.499,0.0088,7.23,39,0.394,Calm
109,5.056,111.166,108.284,0.0019,27.738,126,0.258,Calm
118,5.584,86.218,159.944,0.0068,8.415,50,0.531,Happy
24,7.088,86.257,144.218,0.0194,17.051,125,0.343,Calm
68,3.628,77.325,155.219,0.0158,21.041,87,0.536,Sad
49,5.256,110.442,159.234,0.0071,7.755,39,0.485,Calm
67,5.918,120.422,159.035,0.0218,19.166,116,0.5,Calm
11,5.816,90.353,112.106,0.0302,10.848,56,0.333,Calm
118,5.921,117.525,132.997,0.0005,16.78,87,0.316,Calm
46,5.837,97.187,157.268,0.0394,7.868,46,0.48,Neutral
71,6.534,91.962,157.855,0.0388,15.58,117,0.447,Neutral
90,3.463,111.825,144.676,0.0317,17.416,53,0.557,Neutral
79,6.341,64.767,153.966,0.0417,8.505,61,0.388,Angry
7,5.442,92.768,210.975,0.0225,24.297,126,0.577,Sad
68,4.912,72.228,129.023,0.0596,28.18,128,0.346,Angry
46,4.375,89.22,163.202,0.0755,5.7,22,0.5,Sad
